objective_version,instance_signature,population_size,mutation_rate,stagnation_k,seed,fitness,generations,elapsed_s
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,155,0.06865682578613813,38,0,0.021582628434,85,215.952
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,155,0.06865682578613813,38,42,0.031822467823,86,217.512
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,155,0.06865682578613813,38,99,0.017651069815,66,165.966
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,182,0.07571114615865944,30,0,0.010779305885,70,209.173
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,182,0.07571114615865944,30,42,0.031241440289,72,216.453
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,182,0.07571114615865944,30,99,0.016265736107,82,245.128
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,162,0.05811770026979615,47,0,0.024732972835,81,214.887
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,162,0.05811770026979615,47,42,0.007193186955,89,226.603
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,162,0.05811770026979615,47,99,0.023313573472,69,172.207
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,161,0.06735623347047826,55,0,0.015024545580,138,360.258
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,161,0.06735623347047826,55,42,0.010644808850,108,290.602
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,161,0.06735623347047826,55,99,0.011091090297,92,238.431
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,160,0.06517231504442789,55,0,0.018196892812,98,250.389
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,160,0.06517231504442789,55,42,0.036371533158,107,284.483
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,160,0.06517231504442789,55,99,0.009747350316,100,258.791
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,165,0.0677241753657852,32,0,0.031238386790,66,176.555
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,165,0.0677241753657852,32,42,0.036514185755,92,246.450
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,165,0.0677241753657852,32,99,0.021247294710,55,148.160
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,169,0.06012733437812304,53,0,0.035930060861,75,206.020
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,169,0.06012733437812304,53,42,0.035055810110,103,276.315
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,169,0.06012733437812304,53,99,0.033027557927,109,291.145
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,153,0.07523813790157732,39,0,0.015956813776,90,223.948
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,153,0.07523813790157732,39,42,0.034783920053,74,183.828
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,153,0.07523813790157732,39,99,0.014750941227,64,155.595
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,150,0.054505275517784724,46,0,0.005336971130,78,194.130
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,150,0.054505275517784724,46,42,0.033248152194,83,203.311
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,150,0.054505275517784724,46,99,0.018366178511,74,178.823
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,158,0.06881007555164961,41,0,0.026006239024,67,172.071
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,158,0.06881007555164961,41,42,0.021055861053,81,209.681
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,158,0.06881007555164961,41,99,0.021391327460,104,267.275
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,168,0.06375203184061921,55,0,0.015178848369,87,237.684
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,168,0.06375203184061921,55,42,0.005544318589,93,256.414
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,168,0.06375203184061921,55,99,0.021802402149,85,232.273
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,172,0.08146643330149077,24,0,0.020795380127,53,147.876
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,172,0.08146643330149077,24,42,0.031804475942,56,156.256
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,172,0.08146643330149077,24,99,0.029658632143,67,184.317
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,164,0.09716175577919973,47,0,0.026651434426,103,278.513
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,164,0.09716175577919973,47,42,0.042608676841,97,258.064
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,164,0.09716175577919973,47,99,0.020192019430,64,171.700
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,160,0.07184976690392568,50,0,-0.001533302389,112,294.997
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,160,0.07184976690392568,50,42,0.021052111322,81,217.217
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,160,0.07184976690392568,50,99,0.020002817240,110,284.403
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,155,0.07479478299089595,52,0,-0.000613473412,115,305.629
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,155,0.07479478299089595,52,42,0.048313682362,91,225.281
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,155,0.07479478299089595,52,99,0.025700752957,76,185.772
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,161,0.06846075977947735,56,0,0.024691164427,128,337.619
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,161,0.06846075977947735,56,42,0.032852690906,91,237.568
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,161,0.06846075977947735,56,99,0.007909518112,88,234.275
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,154,0.061456425483298244,43,0,0.020092531248,101,257.482
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,154,0.061456425483298244,43,42,0.010779358514,132,342.043
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,154,0.061456425483298244,43,99,0.017623968047,74,179.239
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,168,0.055905203492549294,49,0,-0.008798766396,100,281.128
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,168,0.055905203492549294,49,42,0.011429835484,98,264.972
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,168,0.055905203492549294,49,99,0.026150608866,81,208.836
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,169,0.054508702647371385,60,0,0.031488932891,152,417.643
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,169,0.054508702647371385,60,42,0.033318841587,148,408.244
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,169,0.054508702647371385,60,99,0.023108594797,80,215.141
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,179,0.058005633353431785,48,0,-0.006335441039,90,264.489
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,179,0.058005633353431785,48,42,0.011096340470,87,259.659
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,179,0.058005633353431785,48,99,0.022867615630,113,326.529
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,186,0.055453349661688224,48,0,-0.005627430860,108,328.695
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,186,0.055453349661688224,48,42,0.036933484506,75,227.797
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,186,0.055453349661688224,48,99,0.027042657439,91,274.663
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,178,0.05828442404044583,43,0,0.014248182154,84,244.654
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,178,0.05828442404044583,43,42,0.032407009463,70,203.229
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,178,0.05828442404044583,43,99,0.003896471786,96,288.068
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,182,0.05042675191555221,37,0,0.014837108853,110,325.182
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,182,0.05042675191555221,37,42,-0.000563709655,81,245.230
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,182,0.05042675191555221,37,99,0.014590446777,67,195.569
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,185,0.050751060581284355,36,0,0.009127180746,71,213.344
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,185,0.050751060581284355,36,42,-0.005933323181,84,260.947
