number,value,datetime_start,datetime_complete,duration,params_mutation_rate,params_population_size,params_stagnation_k,user_attrs_completed_seed_runs,user_attrs_seed_0_fitness,user_attrs_seed_42_fitness,user_attrs_seed_99_fitness,state
16,0.012342670579716906,2026-06-14 03:48:46.454956,2026-06-14 04:04:09.032774,0 days 00:15:22.577818,0.07135561528166659,160,51,3.0,-0.007845746958161499,0.024870941457654377,0.02000281723965784,COMPLETE
17,0.02207512302226378,2026-06-14 04:04:09.098935,2026-06-14 04:14:16.187364,0 days 00:10:07.088429,0.05143644849975833,157,40,3.0,0.011723727243737034,0.03613546331173153,0.018366178511322783,COMPLETE
18,0.015266778774012169,2026-06-14 04:14:16.253931,2026-06-14 04:29:27.455141,0 days 00:15:11.201210,0.08537099938734374,166,50,3.0,0.017455787949927602,0.011915540960649718,0.01642900741145919,COMPLETE
19,0.023685388690640397,2026-06-14 04:29:27.528383,2026-06-14 04:39:27.132769,0 days 00:09:59.604386,0.06865682578613813,155,38,3.0,0.021582628433764028,0.03182246782295743,0.017651069815199736,COMPLETE
20,0.01942882742694149,2026-06-14 04:39:27.203162,2026-06-14 04:50:38.136556,0 days 00:11:10.933394,0.07571114615865944,182,30,3.0,0.010779305885066301,0.03124144028878708,0.016265736106971088,COMPLETE
21,0.01841324442051662,2026-06-14 04:50:38.200563,2026-06-14 05:00:52.072290,0 days 00:10:13.871727,0.05811770026979615,162,47,3.0,0.02473297283456133,0.007193186955068516,0.023313573471920018,COMPLETE
22,0.012253481575324425,2026-06-14 05:00:52.138968,2026-06-14 05:15:41.581979,0 days 00:14:49.443011,0.06735623347047826,161,55,3.0,0.0150245455798367,0.010644808849523298,0.01109109029661328,COMPLETE
23,0.021438592095349828,2026-06-14 05:15:41.648667,2026-06-14 05:28:55.438585,0 days 00:13:13.789918,0.06517231504442789,160,55,3.0,0.0181968928124026,0.03637153315791588,0.009747350315731006,COMPLETE
24,0.029666622418268368,2026-06-14 05:28:55.506642,2026-06-14 05:38:26.834787,0 days 00:09:31.328145,0.0677241753657852,165,32,3.0,0.031238386789681136,0.03651418575520828,0.021247294709915685,COMPLETE
25,0.03467114296582946,2026-06-14 05:38:26.906849,2026-06-14 05:51:20.553520,0 days 00:12:53.646671,0.06012733437812304,169,53,3.0,0.03593006086100618,0.035055810109651274,0.033027557926830924,COMPLETE
26,0.02183055835201876,2026-06-14 05:51:20.629233,2026-06-14 06:00:44.238309,0 days 00:09:23.609076,0.07523813790157732,153,39,3.0,0.0159568137755992,0.03478392005327729,0.014750941227179792,COMPLETE
27,0.018983767278420213,2026-06-14 06:00:44.307790,2026-06-14 06:10:20.755610,0 days 00:09:36.447820,0.054505275517784724,150,46,3.0,0.005336971129935357,0.0332481521940025,0.018366178511322783,COMPLETE
28,0.022817809179066475,2026-06-14 06:10:20.822586,2026-06-14 06:21:10.006080,0 days 00:10:49.183494,0.06881007555164961,158,41,3.0,0.026006239023961687,0.02105586105332305,0.021391327459914688,COMPLETE
29,0.014175189702249034,2026-06-14 06:21:10.077394,2026-06-14 06:33:16.608845,0 days 00:12:06.531451,0.06375203184061921,168,55,3.0,0.015178848369133663,0.005544318588509783,0.02180240214910366,COMPLETE
30,0.027419496070601335,2026-06-14 06:33:16.693744,2026-06-14 06:41:25.322921,0 days 00:08:08.629177,0.08146643330149077,172,24,3.0,0.020795380126772508,0.03180447594201073,0.029658632143020766,COMPLETE
31,0.029817376898840856,2026-06-14 06:41:25.387936,2026-06-14 06:53:13.847184,0 days 00:11:48.459248,0.09716175577919973,164,47,3.0,0.02665143442577508,0.04260867684052648,0.020192019430221003,COMPLETE
32,0.013173875390926364,2026-06-14 06:53:13.909470,2026-06-14 07:06:30.722329,0 days 00:13:16.812859,0.07184976690392568,160,50,3.0,-0.0015333023886948093,0.02105211132181606,0.02000281723965784,COMPLETE
33,0.024466987302168248,2026-06-14 07:06:30.785587,2026-06-14 07:18:27.614242,0 days 00:11:56.828655,0.07479478299089595,155,52,3.0,-0.000613473412078994,0.048313682362005846,0.025700752956577894,COMPLETE
34,0.021817791148430188,2026-06-14 07:18:27.681842,2026-06-14 07:31:57.322577,0 days 00:13:29.640735,0.06846075977947735,161,56,3.0,0.024691164427440127,0.03285269090581813,0.00790951811203231,COMPLETE
35,0.016165285936100914,2026-06-14 07:31:57.387623,2026-06-14 07:44:56.331563,0 days 00:12:58.943940,0.061456425483298244,154,43,3.0,0.020092531247731277,0.010779358513681364,0.0176239680468901,COMPLETE
36,0.009593892651490847,2026-06-14 07:44:56.401010,2026-06-14 07:57:31.549379,0 days 00:12:35.148369,0.055905203492549294,168,49,3.0,-0.008798766396098607,0.011429835484456991,0.02615060886611416,COMPLETE
37,0.029305456424983212,2026-06-14 07:57:31.623034,2026-06-14 08:14:52.852647,0 days 00:17:21.229613,0.054508702647371385,169,60,3.0,0.031488932891248066,0.033318841587079484,0.02310859479662209,COMPLETE
38,0.009209505020252912,2026-06-14 08:14:52.926570,2026-06-14 08:29:03.773414,0 days 00:14:10.846844,0.058005633353431785,179,48,3.0,-0.006335441038938039,0.01109634046951339,0.02286761563018339,COMPLETE
39,0.01944957036157128,2026-06-14 08:29:03.844516,2026-06-14 08:42:55.168792,0 days 00:13:51.324276,0.055453349661688224,186,48,3.0,-0.005627430860265596,0.03693348450634536,0.027042657438634075,COMPLETE
40,0.016850554467925164,2026-06-14 08:42:55.238781,2026-06-14 08:55:11.370710,0 days 00:12:16.131929,0.05828442404044583,178,43,3.0,0.014248182154335945,0.032407009463146126,0.0038964717862934256,COMPLETE
41,0.009621281991549732,2026-06-14 08:55:11.457917,2026-06-14 09:07:57.627588,0 days 00:12:46.169671,0.05042675191555221,182,37,3.0,0.014837108852685878,-0.0005637096548041362,0.01459044677676745,COMPLETE
42,0.006867215407940073,2026-06-14 09:07:57.696810,2026-06-14 09:20:52.112594,0 days 00:12:54.415784,0.050751060581284355,185,36,3.0,0.00912718074620186,-0.005933323180994809,0.017407788658613168,COMPLETE
43,0.01933851355527034,2026-06-14 09:20:52.221757,2026-06-14 09:33:04.503701,0 days 00:12:12.281944,0.05010445865020261,185,36,3.0,0.016599170143895583,0.0347836235413556,0.006632746980559834,COMPLETE
44,0.015792489948748375,2026-06-14 09:33:04.611843,2026-06-14 10:06:16.293899,0 days 00:33:11.682056,0.052911127095866275,190,32,3.0,-0.01805241569558321,0.03880929543825022,0.026620590103578118,COMPLETE
45,0.019512562624979933,2026-06-14 10:06:16.480454,2026-06-14 10:38:12.288294,0 days 00:31:55.807840,0.056348818198375415,181,33,3.0,-0.011253123708310261,0.048313682362005846,0.021477129221244215,COMPLETE
46,0.01355588038580501,2026-06-14 10:38:12.473822,2026-06-14 11:14:11.818357,0 days 00:35:59.344535,0.051622003681347284,192,37,3.0,0.014857290427062415,0.006724073249737274,0.019086277480615338,COMPLETE
47,0.027092320982136014,2026-06-14 11:14:11.953900,2026-06-14 11:44:43.807966,0 days 00:30:31.854066,0.0617683261540186,176,30,3.0,0.01477221221432913,0.04171740832916966,0.024787342402909255,COMPLETE
48,0.020044560226800262,2026-06-14 11:44:43.987706,2026-06-14 12:04:16.019612,0 days 00:19:32.031906,0.05306990459802581,183,45,3.0,-0.006731548401718758,0.034361094626821034,0.03250413445529851,COMPLETE
49,0.02601820109641594,2026-06-14 12:04:16.099826,2026-06-14 12:14:38.170643,0 days 00:10:22.070817,0.05748609980241278,188,39,3.0,-0.00010310622081947636,0.04350936203489973,0.03464834747516756,COMPLETE
50,0.004407365241136558,2026-06-14 12:14:38.239652,2026-06-14 12:25:08.478493,0 days 00:10:30.238841,0.05280868822211533,179,35,3.0,-0.013227115974664331,0.007513985892396879,0.018935225805677126,COMPLETE
51,0.02449797832848118,2026-06-14 12:25:08.555363,2026-06-14 12:44:44.361325,0 days 00:19:35.805962,0.05955817424415821,196,35,3.0,0.004733215191405472,0.03461728221149757,0.0341434375825405,COMPLETE
52,0.016637778915433964,2026-06-14 12:44:44.569406,2026-06-14 13:24:30.740835,0 days 00:39:46.171429,0.05049960986653333,179,30,3.0,0.006920960747602479,0.027992989949711247,0.014999386048988162,COMPLETE
53,0.014084614617456538,2026-06-14 13:24:30.941552,2026-06-14 13:58:51.530831,0 days 00:34:20.589279,0.05319348348222236,175,37,3.0,0.00690097899358712,0.017894297356852835,0.01745856750192966,COMPLETE
54,0.026518716863145858,2026-06-14 13:58:51.631419,2026-06-14 14:11:25.501010,0 days 00:12:33.869591,0.056260548414056866,183,34,3.0,0.00873168521255133,0.03557913092499017,0.03524533445189607,COMPLETE
55,0.019894977264700832,2026-06-14 14:11:25.617835,2026-06-14 14:21:10.407427,0 days 00:09:44.789592,0.08795009250984695,178,25,3.0,0.013604796618817654,0.016154308672972573,0.029925826502312267,COMPLETE
56,0.02096964189019809,2026-06-14 14:21:10.508111,2026-06-14 14:36:55.989909,0 days 00:15:45.481798,0.05222413012724498,173,41,3.0,0.01955794581013689,0.03942159177885965,0.003929388081597723,COMPLETE
57,0.02749893315206668,2026-06-14 14:36:56.071648,2026-06-14 14:46:23.356876,0 days 00:09:27.285228,0.0540973562982516,186,28,3.0,0.014650704940607575,0.034444867397484646,0.033401227118107814,COMPLETE
58,0.012582937854351599,2026-06-14 14:46:23.422238,2026-06-14 14:58:48.652518,0 days 00:12:25.230280,0.05639792618718954,189,39,3.0,-0.003180164285854908,0.0213998038037563,0.0195291740451534,COMPLETE
59,0.009770887825088127,2026-06-14 14:58:48.714796,2026-06-14 15:11:41.125792,0 days 00:12:52.410996,0.05000281250883057,180,49,3.0,-0.010902059257058665,0.03563431081544582,0.004580411916877231,COMPLETE
60,0.008698063883671793,2026-06-14 15:11:41.184646,2026-06-14 15:23:58.256994,0 days 00:12:17.072348,0.05134317994065271,180,49,3.0,-0.010674932448436357,0.027839381907528358,0.008929742191923374,COMPLETE
